rs1,rs1@yahoo.com,90,14,70,174,pass,01/05/21
rs2,rs2@yahoo.com,17,8,84,109,fail,02/05/21
rs3,rs3@yahoo.com,73,44,22,139,fail,03/05/21
rs4,rs4@yahoo.com,61,32,80,173,pass,04/05/21
rs5,rs5@yahoo.com,35,68,79,182,pass,05/05/21
rs6,rs6@yahoo.com,19,95,98,212,pass,06/05/21
rs7,rs7@yahoo.com,30,69,18,117,fail,07/05/21
rs8,rs8@yahoo.com,28,91,74,193,pass,08/05/21
rs9,rs9@yahoo.com,31,36,29,96,fail,09/05/21
rs10,rs10@yahoo.com,81,59,98,238,pass,10/05/21
rs11,rs11@yahoo.com,83,35,23,141,fail,11/05/21
rs12,rs12@yahoo.com,15,72,88,175,pass,12/05/21
rs13,rs13@yahoo.com,50,7,50,107,fail,13/05/21
rs14,rs14@yahoo.com,94,86,73,253,pass,14/05/21
rs15,rs15@yahoo.com,66,92,8,166,pass,15/05/21
rs16,rs16@yahoo.com,23,55,24,102,fail,16/05/21
rs17,rs17@yahoo.com,80,19,20,119,fail,17/05/21
rs18,rs18@yahoo.com,28,87,43,158,pass,18/05/21
rs19,rs19@yahoo.com,75,17,24,116,fail,19/05/21
rs20,rs20@yahoo.com,4,95,20,119,fail,20/05/21
